,Imóvel,Bairro,Metragem (m^2),Quartos,Banheiros,Vagas,Condominio
4121,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
4122,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
4123,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
4124,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
4125,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
4126,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
4127,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
4128,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
4129,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
4130,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
4131,"  Apartamento com 2 Quartos à Venda, 136m²  ",Brooklin, 136 , 2 , 3 , 2 ,1100
4132,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
4133,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
4134,"  Apartamento com 3 Quartos à Venda, 150m²  ",Lar São Paulo, 150 , 3 , 4 , 3 ,1120
4135,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
4136,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
4137,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
4138,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
4139,"  Apartamento com 3 Quartos à Venda, 78m²  ",Jaguaré, 78 , 3 , 2 , 1 ,600
4140,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
4141,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
4142,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
4143,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
4144,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
4145,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
4146,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
4147,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
4148,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
4149,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
4150,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
4151,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
4152,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
4153,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
4154,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
4155,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
4156,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
4157,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
4158,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
4159,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
4160,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
4161,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
4162,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
4163,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
4164,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
4165,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
4166,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
4167,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
